Br,MA,methacrolein,-0.8750343569518847
Br,MA,DMF,0.21244080671021098
Br,MA,THTO,1.406023983914094
Br,MA,acetone,-0.77209374679940468
Br,MA,dmso,1.397049674311057
Br,MA,gbl,-1.6323077172787179
Br,MA,nitromethane,0.42078556474430051
Br,MA,nmp,0.29320959313754158
Br,FA,DMF,-0.26214180112096569
Br,FA,dmso,1.2629629308303909
Br,Cs,dmso,1.397049674311057
Br,FA,methacrolein,-0.95844264620363773
Br,Cs,gbl,-1.4845835442982038
Br,Cs,DMF,0.22035931518347868
Br,Cs,nmp,0.43415904396170646
Br,FA,acetone,-0.8676437490435015
Br,FA,nmp,0.25361705077120311
Br,FA,gbl,-1.5494273285918494
Br,FA,THTO,1.1858894483572524
Br,FA,nitromethane,0.35514992432432257
Br,Cs,methacrolein,-0.89456667785261157
Br,Cs,nitromethane,0.44172561696538248
Cl,MA,acetone,-0.85655783718092682
Cl,MA,methacrolein,-0.96372165185248271
Cl,MA,dmso,1.3131134844944199
Br,Cs,THTO,1.7364897375317987
Cl,MA,gbl,-1.5898117218055146
Cl,MA,nmp,-0.062067487029735482
Br,Cs,acetone,-0.7483382213796016
Br,Cs,acetone,-0.7483382213796016
Cl,MA,DMF,0.0941910801760803
Cl,MA,nitromethane,0.41884992758005551
Cl,MA,THTO,1.3205040924028029
Cl,FA,nitromethane,0.41849799211046385
Cl,FA,dmso,1.1895847523114436
Cl,FA,DMF,0.051959034985319265
Cl,FA,gbl,-1.6204299545688163
Cl,FA,nmp,0.19290848580948411
Cl,FA,acetone,-0.96266585072271371
Cl,FA,THTO,1.2212587862045143
Cl,FA,methacrolein,-0.97744706653948021
Cl,Cs,dmso,1.3062507771509209
Cl,Cs,acetone,-0.82699540554739392
Cl,Cs,DMF,0.10210958864934801
Cl,Cs,methacrolein,-0.94630093321129383
Cl,Cs,gbl,-1.7446185624578978
Cl,Cs,nitromethane,0.43996595017543599
Cl,Cs,nmp,0.21191290614532651
I,MA,dmso,1.3732941488912542
Cl,Cs,THTO,1.3104739816699971
I,MA,DMF,0.19449218750413777
I,MA,acetone,-0.79268186882990077
I,MA,gbl,-1.6465610325305997
I,MA,methacrolein,-0.83755341684508422
I,FA,dmso,1.3569292313798345
I,MA,THTO,1.3949380720515192
I,MA,nitromethane,0.43767838282060512
I,FA,methacrolein,-0.88348076599003689
I,FA,acetone,-0.84863932870765912
I,FA,DMF,-0.24524898304466122
I,MA,nmp,0.14328583271033984
I,FA,nmp,0.21983141461859423
I,FA,gbl,-1.5903396223703992
I,Cs,dmso,1.3801568562347528
I,Cs,acetone,-0.75784043154752279
I,FA,nitromethane,0.438030313011191
I,Cs,methacrolein,-0.89351087672284257
I,Cs,nitromethane,0.45509910146179389
I,Cs,THTO,1.4023286799599022
I,Cs,DMF,0.20927340332090397
I,Cs,gbl,-1.5327984607979874
I,FA,THTO,1.3400364133035301
I,Cs,nmp,0.41832202701517107
